File,Gene_Name,Transcript_ID,Global_Frequency,Present_in_Transcripts,Mini_Shared_Length,Sum or Fitted A (Abundance) for Normalized Count,Sum or Fitted A (Abundance) for Count,Fixed Mean (xc),Fixed Standard Deviation (w),Report
GAPDH_ENST00000492719_kmers_merged_normalized.csv,GAPDH,ENST00000492719,1,GAPDH_ENST00000492719,48,0.05,3.76,56.59,1.46,OK
GAPDH_ENST00000496049_kmers_merged_normalized.csv,GAPDH,ENST00000496049,1,GAPDH_ENST00000496049,155,2.22,541.32,69.80,7.66,OK
GAPDH_ENST00000466588_kmers_merged_normalized.csv,GAPDH,ENST00000466588,2,GAPDH_ENST00000396859-GAPDH_ENST00000466588,38,5.56,332.01,65.59,5.82,OK
GAPDH_ENST00000474249_kmers_merged_normalized.csv,GAPDH,ENST00000474249,3,GAPDH_ENST00000466525-GAPDH_ENST00000466588-GAPDH_ENST00000474249,150,1.56,368.00,N/A,N/A,Unsuitable Fit - Optimal parameters not found: Number of calls to function has reached maxfev = 1000.
GAPDH_ENST00000466525_kmers_merged_normalized.csv,GAPDH,ENST00000466525,1,GAPDH_ENST00000466525,516,3.07,2491.77,58.46,8.73,OK
GAPDH_ENST00000619601_kmers_merged_normalized.csv,GAPDH,ENST00000619601,1,GAPDH_ENST00000619601,3,0.00,0.00,N/A,N/A,Insufficient Data
GAPDH_ENST00000396861_kmers_merged_normalized.csv,GAPDH,ENST00000396861,1,GAPDH_ENST00000396861,127,1.36,271.16,70.67,11.10,OK
GAPDH_ENST00000229239_kmers_merged_normalized.csv,GAPDH,ENST00000229239,2,GAPDH_ENST00000229239-GAPDH_ENST00000496049,15,27.88,657.00,N/A,N/A,Insufficient Data
GAPDH_ENST00000396856_kmers_merged_normalized.csv,GAPDH,ENST00000396856,1,GAPDH_ENST00000396856,48,0.00,0.00,43.96,6.35,OK
GAPDH_ENST00000396858_kmers_merged_normalized.csv,GAPDH,ENST00000396858,1,GAPDH_ENST00000396858,167,1.41,371.00,N/A,N/A,Unsuitable Fit - Optimal parameters not found: Number of calls to function has reached maxfev = 1000.
GAPDH_ENST00000396859_kmers_merged_normalized.csv,GAPDH,ENST00000396859,2,GAPDH_ENST00000396859-GAPDH_ENST00000466588,38,5.56,332.01,65.59,5.82,OK
